VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,09/04/2018 08:44:09 PM,09/04/2018 08:50:09 PM,1,0.9,1,N,164,170,1,6,0.5,0.5,1.45,0,0.3,8.75
1,09/04/2018 08:53:52 PM,09/04/2018 09:02:21 PM,1,1.5,1,N,170,50,1,8,0.5,0.5,1.85,0,0.3,11.15
2,09/04/2018 07:58:31 PM,09/04/2018 08:10:35 PM,2,1.99,1,N,170,158,1,9.5,0.5,0.5,2.16,0,0.3,12.96
2,09/04/2018 08:12:44 PM,09/04/2018 08:16:29 PM,2,0.47,1,N,158,249,1,4.5,0.5,0.5,1.37,0,0.3,7.17
2,09/04/2018 08:17:55 PM,09/04/2018 08:25:52 PM,2,1.06,1,N,249,79,1,7,0.5,0.5,1.66,0,0.3,9.96
2,09/04/2018 08:28:40 PM,09/04/2018 08:40:15 PM,2,1.62,1,N,79,158,1,9,0.5,0.5,3.09,0,0.3,13.39
1,09/04/2018 08:49:13 PM,09/04/2018 09:00:39 PM,2,2.3,1,N,170,230,2,13,0.5,0.5,0,0,0.3,14.3
2,09/04/2018 08:34:00 PM,09/04/2018 08:39:37 PM,1,0.88,1,N,90,107,2,6,0.5,0.5,0,0,0.3,7.3
2,09/04/2018 08:43:54 PM,09/04/2018 08:57:28 PM,1,2.59,1,N,107,163,1,11,0.5,0.5,2.46,0,0.3,14.76
2,09/04/2018 08:44:06 PM,09/04/2018 08:50:17 PM,1,2.08,1,N,137,140,1,8,0.5,0.5,1.86,0,0.3,11.16
2,09/04/2018 08:58:47 PM,09/04/2018 09:08:51 PM,1,1.64,1,N,141,163,1,8.5,0.5,0.5,2.45,0,0.3,12.25
1,09/04/2018 08:08:24 PM,09/04/2018 08:20:05 PM,1,2.2,1,N,144,158,2,10,0.5,0.5,0,0,0.3,11.3
1,09/04/2018 08:21:34 PM,09/04/2018 08:32:01 PM,1,1.7,1,N,158,231,1,8.5,0.5,0.5,1.95,0,0.3,11.75
1,09/04/2018 08:33:46 PM,09/04/2018 08:55:15 PM,1,4.5,1,N,231,181,1,17.5,0.5,0.5,3.76,0,0.3,22.56
2,09/04/2018 08:02:50 PM,09/04/2018 08:09:25 PM,1,1.05,1,N,43,239,1,6.5,0.5,0.5,1.17,0,0.3,8.97
2,09/04/2018 08:21:39 PM,09/04/2018 08:32:22 PM,1,2.23,1,N,163,236,1,9.5,0.5,0.5,2.7,0,0.3,13.5
2,09/04/2018 08:47:28 PM,09/04/2018 08:56:23 PM,1,1.6,1,N,162,140,1,8.5,0.5,0.5,1,0,0.3,10.8
